Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
T.J. Oshie,20232024,WSH,R,R,52,12,13,25,-6,44,0.48,5,14,7,11,0,0,0,4,90,13.3,16:52,27.9
Michael Eyssimont,20232024,TBL,L,C,81,11,14,25,7,104,0.31,9,21,2,4,0,0,0,2,149,7.4,11:51,46.2
Josh Manson,20232024,COL,R,D,76,8,17,25,11,87,0.33,7,23,0,0,1,2,0,0,123,6.5,17:47,0
Curtis Lazar,20232024,NJD,R,C,71,7,18,25,10,44,0.35,6,24,0,0,1,1,0,2,74,9.5,12:23,48.8
Jake Middleton,20232024,MIN,L,D,80,7,18,25,-15,77,0.31,7,24,0,0,0,1,0,1,85,8.2,19:49,--
Paul Cotter,20232024,VGK,L,C,76,7,18,25,-11,41,0.33,5,21,2,4,0,0,0,0,100,7,12:44,49.1
Cody Ceci,20232024,EDM,R,D,79,5,20,25,12,14,0.32,5,24,0,0,0,1,0,0,97,5.2,20:01,--
Matt Roy,20232024,LAK,R,D,81,5,20,25,21,42,0.31,5,22,0,1,0,2,0,1,135,3.7,20:54,--
Artem Zub,20232024,OTT,R,D,69,5,20,25,5,32,0.36,4,24,0,0,1,1,0,0,85,5.9,21:01,--
John Marino,20232024,NJD,R,D,75,4,21,25,-6,41,0.33,4,25,0,0,0,0,0,1,57,7,20:57,--
Will Borgen,20232024,SEA,R,D,82,3,22,25,-5,65,0.3,3,25,0,0,0,0,0,0,97,3.1,17:35,--
Bobby McMann,20232024,TOR,L,C,56,15,9,24,13,52,0.43,14,23,1,1,0,0,0,0,118,12.7,11:34,60
Sam Lafferty,20232024,VAN,R,C,79,13,11,24,4,32,0.3,12,23,0,0,1,1,0,3,78,16.7,11:53,42.1
Pavel Dorofeyev,20232024,VGK,L,L,47,13,11,24,8,12,0.51,13,23,0,1,0,0,0,1,97,13.4,13:17,50
Tomas Tatar,20232024,"COL,SEA",L,L,70,9,15,24,8,20,0.34,9,23,0,1,0,0,0,2,72,12.5,12:27,25
Sam Steel,20232024,DAL,L,C,77,9,15,24,0,29,0.31,7,21,0,0,2,3,0,1,86,10.5,13:15,45
Evgeny Kuznetsov,20232024,"WSH,CAR",L,C,63,8,16,24,-11,30,0.38,7,17,1,7,0,0,0,1,96,8.3,17:33,45
Martin Pospisil,20232024,CGY,L,C,63,8,16,24,14,109,0.38,8,24,0,0,0,0,0,1,117,6.8,12:43,45.1
Kevin Shattenkirk,20232024,BOS,R,D,61,6,18,24,-2,18,0.39,4,13,2,11,0,0,0,0,78,7.7,15:47,--
David Savard,20232024,MTL,R,D,60,6,18,24,-1,24,0.4,6,24,0,0,0,0,0,0,54,11.1,20:14,--
Mike Reilly,20232024,"FLA,NYI",L,D,61,6,18,24,-1,30,0.39,5,18,0,5,1,1,0,1,126,4.8,17:09,--
Jeff Petry,20232024,DET,R,D,73,3,21,24,-7,39,0.33,3,23,0,0,0,1,0,0,84,3.6,18:48,--
Nick Perbix,20232024,TBL,R,D,77,2,22,24,8,10,0.31,2,24,0,0,0,0,1,1,57,3.5,17:05,--
Jordan Spence,20232024,LAK,R,D,71,2,22,24,5,12,0.34,1,18,1,6,0,0,0,0,80,2.5,14:26,--
Sonny Milano,20232024,WSH,L,L,49,15,8,23,4,10,0.47,12,19,3,4,0,0,0,2,50,30,12:30,--
Ryan Johansen,20232024,COL,R,C,63,13,10,23,-6,34,0.37,9,16,4,6,0,1,0,4,78,16.7,13:39,53.1
Filip Zadina,20232024,SJS,L,R,72,13,10,23,-44,18,0.32,10,19,3,4,0,0,0,3,137,9.5,13:20,22.1
