Player,Position,cps
Jackson LaCombe,D,0.3722863301431307
Jack Johnson,D,0.3522137149651121
Trevor Lewis,C,0.265946822783611
Pat Maroon,L,0.1618680764911749
Brian Dumoulin,D,0.3529399707040963
Sam Carrick,C,0.2691384744291005
Dougie Hamilton,D,0.1389435468939082
Adam Pelech,D,0.3493414340706738
Brett Kulak,D,0.3532435892022131
Andre Burakovsky,L,0.1935039496194607
Nicolas Aube-Kubel,R,0.1864671371639276
Brandon Tanev,L,0.2242720209798993
Kailer Yamamoto,R,0.1845491633435337
Emil Bemstrom,R,0.1837773480045543
Martin Fehervary,D,0.3900985844795738
Alex Vlasic,D,0.477173775464969
Lukas Reichel,L,0.1976130103302927
Kent Johnson,C,0.2018866949949635
Jeff Carter,C,0.2789852861449224
Brendan Smith,D,0.3307324265917107
Tyson Barrie,D,0.1976903396030616
Nick Cousins,C,0.2699999413251419
Jamie Oleksiak,D,0.4980773815618731
Mark Jankowski,C,0.2146357318365858
Dominik Kubalik,L,0.2149761158491392
Conor Sheary,L,0.1577079905241264
Frederick Gaudreau,C,0.2255446955443514
Viktor Arvidsson,R,0.1296331058975647
Victor Olofsson,L,0.1670404418835186
Kevin Stenlund,C,0.2865346352288865
Max Jones,L,0.1719197474088277
Alex Nylander,L,0.1688062653516065
Blake Lizotte,C,0.2369034174477686
Trevor Zegras,C,0.19840870198717
Arthur Kaliyev,R,0.1882116129767625
Kevin Korchinski,D,0.3231979821395346
Matthew Poitras,C,0.195670586315102
Zach Bogosian,D,0.3467775681062475
Nick Jensen,D,0.4046693802580571
Zemgus Girgensons,L,0.1907270268307139
Liam O'Brien,C,0.1930557026406687
Nate Schmidt,D,0.3167135458254828
Hudson Fasching,R,0.1394792972910229
Ryan Graves,D,0.4081572448009854
Justin Bailey,R,0.1646608574974074
Trevor van Riemsdyk,D,0.3507602784832041
Brandon Carlo,D,0.4743296508535503
Jeremy Lauzon,D,0.5191326854154377
Taylor Raddysh,R,0.2474023670550034
Tanner Jeannot,L,0.1723519511034851
Urho Vaakanainen,D,0.3145052592109335
Jesper Boqvist,C,0.1988804989334873
Klim Kostin,C,0.1833533556789928
Zach Whitecloud,D,0.3528365275264339
Jacob Bernard-Docker,D,0.3699206219163834
Jordan Harris,D,0.271090010404942
Logan Stankoven,C,0.2148627947902343
Nick Seeler,D,0.4738494617753864
Tanner Pearson,L,0.1737163032900662
Brett Pesce,D,0.4158938415336021
Nathan Walker,L,0.1397125004348607
Erik Cernak,D,0.4195286210557281
Dante Fabbro,D,0.2887765407682273
Boris Katchouk,L,0.1726083570060108
Jake Bean,D,0.3394520814917048
Brandon Duhaime,R,0.2031580317259249
Cody Glass,C,0.202290041170896
Johnathan Kovacevic,D,0.3102197743059868
Nico Sturm,C,0.2356461857119803
Justin Barron,D,0.2460540873812941
Alexander Barabanov,L,0.1700447103975229
Mason Lohrei,D,0.2179143467835188
Marc-Edouard Vlasic,D,0.2782639738415242
Jani Hakanpää,D,0.4163161145114344
Colin Blackwell,C,0.2233652565019538
Barclay Goodrow,C,0.2550077383949549
Matt Dumba,D,0.4157804672249766
Chris Tierney,C,0.1965858631447936
Connor Brown,R,0.2083559709568143
Mattias Janmark,C,0.2269418976237562
Ryan Carpenter,C,0.2058678929943153
A.J. Greer,L,0.1464420819544331
Derek Ryan,C,0.2451228318087829
Carl Grundstrom,R,0.1711557372837736
Noah Gregor,C,0.2360127643201496
Nathan Bastian,R,0.1489833523525259
Michael Pezzetta,L,0.1312263512135497
Mathieu Olivier,R,0.1533198146903322
Nicolas Hague,D,0.4058924157167847
Juuso Parssinen,C,0.2057864256588754
Ian Cole,D,0.4500515317305955
Jon Merrill,D,0.2314136387727198
Luke Glendening,C,0.2515793689533857
Matt Grzelcyk,D,0.3097747393917823
Tony DeAngelo,D,0.1300253310430765
Vincent Desharnais,D,0.3865217673069485
MacKenzie Entwistle,R,0.1640054814040495
Pierre-Olivier Joseph,D,0.2328357792101558
Isac Lundestrom,C,0.2113972292910373
Kevin Bahl,D,0.4060172457776859
Henry Thrun,D,0.2522036381345056
Thomas Bordeleau,C,0.1709342983327567
Zach Parise,L,0.1183762693071606
Alex Goligoski,D,0.161264534337443
Sam Gagner,C,0.1685522721796493
Calvin de Haan,D,0.2979182468042816
Phillip Di Giuseppe,L,0.1514281137817608
Ben Hutton,D,0.2206356813387494
Josh Brown,D,0.2788126545187631
Andreas Englund,D,0.34754313039588
Andrew Peeke,D,0.2428011385541517
Conor Timmins,D,0.1608320042653081
Gustav Lindström,D,0.2410726269653266
Mark Kastelic,C,0.1929454106881395
Eric Robinson,L,0.1450905616479305
Ty Emberson,D,0.1943505265137091
Barrett Hayton,C,0.1882406836250357
Adam Boqvist,D,0.1796059154778657
Jakub Lauko,C,0.1866454814816832
Rafael Harvey-Pinard,L,0.1318137723457823
John Beecher,C,0.1983993894326166
Jayden Struble,D,0.2857735276161985
Jamie Drysdale,D,0.1769493373150208
Arber Xhekaj,D,0.251872008405667
David Jiricek,D,0.1873369682379121
Sam Malinski,D,0.1306972960890758
Mark Giordano,D,0.2735476570670722
Jarred Tinordi,D,0.2798012689395392
Colin Miller,D,0.2442606715016543
Andreas Athanasiou,C,0.1640582878759178
Tyler Motte,C,0.2555155164504324
Christian Dvorak,C,0.1870941594074905
Fredrik Olofsson,L,0.1297436955978558
Kevin Labanc,R,0.1203490941805731
Jonas Siegenthaler,D,0.3161953705811079
Julien Gauthier,R,0.0961638929284965
Patrik Laine,L,0.1005153557796165
Josh Mahura,D,0.1370061266534161
Jacob MacDonald,D,0.1325639593528463
Alex Barré-Boulet,C,0.1769513313823412
Vinni Lettieri,C,0.1689520214836897
Adam Ruzicka,C,0.1563860468263154
Sebastian Aho,D,0.2960437327075351
Sebastian Aho,D,0.2554496733015945
Ty Dellandrea,C,0.1672146434732104
Declan Chisholm,D,0.152991455157844
Kyle MacLean,C,0.1585825512343985
Kaedan Korczak,D,0.1662955119132318
Nikita Okhotiuk,D,0.2747981316094501
Joel Kiviranta,L,0.1334155618335444
Zac Jones,D,0.1536546789698354
Dylan Holloway,L,0.1315055158335068
Josh Doan,R,0.0835376697900326
Matt Coronato,R,0.1183301935116557
Zack Bolduc,C,0.1690127204390784
Joshua Roy,R,0.1025198148775473
Olen Zellweger,D,0.1593533072200674
Ryker Evans,D,0.2032276635078136
Marco Scandella,D,0.2534408533319507
Matt Martin,L,0.1338379281959415
Travis Boyd,C,0.1356507154471677
Connor Murphy,D,0.3080105260260082
Kyle Burroughs,D,0.4366354270662241
William Carrier,L,0.1379987973220383
Dakota Mermis,D,0.2166700675894382
Dryden Hunt,L,0.097256107923348
Oliver Kylington,D,0.1913059089533883
Parker Wotherspoon,D,0.2544856494816964
Jacob Bryson,D,0.164523801510869
Cole Guttman,C,0.1544412766910253
Ilya Lyubushkin,D,0.4431516026116443
Jesse Ylönen,R,0.1392527168271745
Brendan Brisson,C,0.1331616572898447
Luke Schenn,D,0.3507747621538267
Michael Sgarbossa,C,0.1515242660498239
Pierre-Edouard Bellemare,L,0.1101927022196134
Sammy Blais,L,0.1101560330359586
Travis Dermott,D,0.2284009638263224
Noah Juulsen,D,0.3020592722472095
Dennis Gilbert,D,0.1669988365388966
